code,name,row,col
48740,경상남도 창녕군,18,8
48820,경상남도 고성군,23,8
48840,경상남도 남해군,23,7
48850,경상남도 하동군,21,6
48860,경상남도 산청군,20,6
48870,경상남도 함양군,18,7
48880,경상남도 거창군,17,7
48890,경상남도 합천군,17,8
50110,제주특별자치도 제주시,26,6
50130,제주특별자치도 서귀포시,27,6
