name,row,col,code
"North Kazakhstan",1,3,"SEV"
"Pavlodar",2,4,"PAV"
"West Kazakhstan",2,1,"ZAP"
"Akmola",2,3,"AKM"
"Kostanay",2,2,"KUS"
"East Kazakhstan",3,5,"VOS"
"Karaganda",3,4,"KAR"
"Atyrau",3,1,"ATY"
"Nur-Sultan",3,3,"AST"
"Almaty Region",4,5,"ALM"
"Jambyl",4,3,"ZHA"
"Almaty",4,4,"ALA"
"Shymkent",4,2,"SHY"
