name,code,row,col
Broye-Vully,BV,1,4
Jura-Nord vaudois,JN,1,2
Lausanne,LA,2,3
Riviera-Pays-d'Enhaut,RE,2,5
Lavaux-Oron,LO,2,4
Ouest Lausannois,OL,2,2
Morges,MO,2,1
Gros-de-Vaud,GV,1,3
Aigle,AG,3,5
Nyon,NY,3,1
