"code","name","row","col"
"1","Al-Hasakeh",1,5
"2","Aleppo",1,2
"3","Ar Raqqah",1,3
"4","As Sweida",6,3
"5","Damascus",5,2
"6","Dar`a",6,2
"7","Deir ez-Zour",2,4
"8","Hamaa",3,2
"9","Homs",4,3
"10","Idlib",2,2
"11","Lattakia",2,1
"12","Quneitra",6,1
"13","Rural Damascus",5,3
"14","Tartous",3,1
