code,row,col,name
"01",6,4,"Stockholm"
"03",5,3,"Uppsala"
"04",6,3,"Södermanland"
"05",7,3,"Östergötland"
"06",8,2,"Jönköping"
"07",9,2,"Kronoberg"
"08",8,3,"Kalmar"
"09",8,5,"Gotland"
"10",9,3,"Blekinge"
"12",10,2,"Skåne"
"13",8,1,"Halland"
"14",7,1,"Västra Götaland"
"17",6,1,"Värmland"
"18",6,2,"Örebro"
"19",5,2,"Västmanland"
"20",4,2,"Dalarna"
"21",4,3,"Gävleborg"
"22",3,3,"Västernorrland"
"23",3,2,"Jämtland"
"24",2,3,"Västerbotten"
"25",1,3,"Norrbotten"
