"col","row","code","name_es"
1,1,"BO-N","Pando"
1,2,"BO-L","La Paz"
2,2,"BO-C","Cochabamba"
3,2,"BO-B","Beni"
1,3,"BO-O","Oruro"
2,3,"BO-P","Potosí"
3,3,"BO-H","Chuquisaca"
4,3,"BO-S","Santa Cruz"
3,4,"BO-T","Tarija"
