"code","row","col","name"
"Troms og Finnmark",1,4,"Troms og Finnmark"
"Nordland",2,3,"Nordland"
"Trondelag",3,2,"Trondelag"
"More og Romsdal",4,1,"More og Romsdal"
"Innlandet",4,2,"Innlandet"
"Oslo",5,3,"Oslo"
"Viken",5,2,"Viken"
"Vestland",5,1,"Vestland"
"Rogaland",6,1,"Rogaland"
"Agder",6,2,"Agder"
"Vestfold og Telemark",6,3,"Vestfold og Telemark"
