code,name,row,col
NED,New England,1,6
WNC,West North Central,2,3
ENC,East North Central,2,4
MID,Middle Atlantic,2,5
MTN,Mountain,2,2
PAC,Pacific,2,1
WSC,West South Central,3,3
ESC,East South Central,3,4
SAT,South Atlantic,3,5
